YearStart,LocationDesc,Class,Data_Value,Sample_Size,StratificationCategory1,Stratification1
2022,Nebraska,Physical Activity,22.0,922.0,Age (years),35 - 44
2019,Illinois,Physical Activity,34.3,2301.0,Education,College graduate
2022,North Dakota,Obesity / Weight Status,34.0,1412.0,Income,Data not reported
2022,Arizona,Obesity / Weight Status,36.7,3682.0,Education,College graduate
2021,Ohio,Physical Activity,27.1,828.0,Race/Ethnicity,Non-Hispanic Black
2019,Nevada,Physical Activity,23.2,75.0,Race/Ethnicity,2 or more races
2021,National,Physical Activity,29.3,109291.0,Education,High school graduate
2018,South Carolina,Obesity / Weight Status,28.7,2275.0,Income,"$75,000 or greater"
2022,North Dakota,Obesity / Weight Status,36.9,638.0,Income,"$50,000 - $74,999"
2021,Louisiana,Obesity / Weight Status,29.4,939.0,Race/Ethnicity,Non-Hispanic Black
2022,Arizona,Physical Activity,21.2,6990.0,Race/Ethnicity,Non-Hispanic White
2019,Massachusetts,Obesity / Weight Status,38.0,127.0,Race/Ethnicity,2 or more races
2019,Utah,Obesity / Weight Status,40.3,5517.0,Gender,Male
2023,Washington,Physical Activity,65.3,3289.0,Age (years),45 - 54
2018,Maryland,Physical Activity,20.5,7431.0,Gender,Male
2023,New Mexico,Obesity / Weight Status,25.5,281.0,Income,"$15,000 - $24,999"
2023,Utah,Physical Activity,30.2,550.0,Education,Less than high school
2023,Arizona,Physical Activity,24.4,6492.0,Gender,Female
2020,National,Obesity / Weight Status,34.2,94257.0,Education,High school graduate
2022,Nevada,Obesity / Weight Status,31.1,741.0,Education,High school graduate
2019,North Dakota,Fruits and Vegetables,44.8,2447.0,Gender,Male
2019,Iowa,Physical Activity,14.9,3063.0,Education,College graduate
2019,Arkansas,Physical Activity,16.2,577.0,Income,"$50,000 - $74,999"
2021,Oklahoma,Fruits and Vegetables,22.2,469.0,Income,"$25,000 - $34,999"
2023,Puerto Rico,Physical Activity,66.1,513.0,Education,Less than high school
2021,Texas,Fruits and Vegetables,21.1,2402.0,Education,Some college or technical school
2019,Kansas,Physical Activity,16.4,550.0,Income,"Less than $15,000"
2021,Indiana,Fruits and Vegetables,23.9,850.0,Income,"$25,000 - $34,999"
2019,Utah,Obesity / Weight Status,25.5,1550.0,Income,Data not reported
2019,Connecticut,Obesity / Weight Status,22.6,3991.0,Education,College graduate
2022,Alabama,Obesity / Weight Status,35.7,579.0,Age (years),45 - 54
2022,Utah,Obesity / Weight Status,18.2,747.0,Age (years),18 - 24
2020,Arizona,Obesity / Weight Status,44.0,509.0,Race/Ethnicity,American Indian/Alaska Native
2020,Virginia,Physical Activity,34.0,1057.0,Income,"$15,000 - $24,999"
2023,Massachusetts,Obesity / Weight Status,38.8,2719.0,Age (years),65 or older
2019,Hawaii,Fruits and Vegetables,25.0,890.0,Income,"$15,000 - $24,999"
2023,West Virginia,Physical Activity,39.8,535.0,Income,"$50,000 - $74,999"
2023,California,Obesity / Weight Status,30.2,4926.0,Gender,Female
2021,District of Columbia,Physical Activity,10.4,291.0,Income,"$75,000 or greater"
2019,Wisconsin,Physical Activity,52.8,2405.0,Gender,Female
2021,New Jersey,Obesity / Weight Status,37.8,3169.0,Education,College graduate
2023,Mississippi,Physical Activity,37.5,397.0,Income,"$35,000 - $49,999"
2019,Montana,Physical Activity,64.4,733.0,Age (years),35 - 44
2020,Iowa,Physical Activity,20.5,1356.0,Age (years),35 - 44
2023,Oklahoma,Physical Activity,37.4,3486.0,Race/Ethnicity,Non-Hispanic White
2021,Louisiana,Obesity / Weight Status,32.7,1669.0,Income,Data not reported
2019,Puerto Rico,Physical Activity,7.3,5743.0,Race/Ethnicity,Hispanic
2019,Missouri,Obesity / Weight Status,28.8,1212.0,Income,Data not reported
2019,New York,Fruits and Vegetables,36.8,954.0,Income,"$25,000 - $34,999"
2018,New Jersey,Obesity / Weight Status,41.6,351.0,Race/Ethnicity,Hispanic
2018,Puerto Rico,Obesity / Weight Status,32.7,2830.0,Gender,Female
2023,Connecticut,Physical Activity,40.4,1601.0,Education,Some college or technical school
2023,Arizona,Physical Activity,48.6,4629.0,Income,Data not reported
2023,Alaska,Physical Activity,65.9,2421.0,Gender,Male
2021,Missouri,Physical Activity,39.8,840.0,Education,Less than high school
2020,Kansas,Obesity / Weight Status,26.8,1016.0,Income,"$15,000 - $24,999"
2019,Maine,Physical Activity,27.3,2173.0,Income,"$75,000 or greater"
2023,Mississippi,Physical Activity,38.0,321.0,Income,"$75,000 or greater"
2019,Ohio,Obesity / Weight Status,35.2,10841.0,Race/Ethnicity,Non-Hispanic White
2020,Kansas,Obesity / Weight Status,29.3,1406.0,Income,Data not reported
2022,North Dakota,Physical Activity,15.9,562.0,Income,"$75,000 or greater"
2019,West Virginia,Obesity / Weight Status,31.0,757.0,Age (years),45 - 54
2020,Virginia,Obesity / Weight Status,36.7,3077.0,Income,"$75,000 or greater"
2021,Rhode Island,Fruits and Vegetables,19.7,4641.0,Total,Total
2023,Montana,Physical Activity,39.5,170.0,Race/Ethnicity,2 or more races
2020,Idaho,Obesity / Weight Status,16.7,82.0,Race/Ethnicity,2 or more races
2022,New Hampshire,Obesity / Weight Status,6.9,54.0,Race/Ethnicity,Asian
2018,Oregon,Physical Activity,17.6,91.0,Race/Ethnicity,Asian
2019,Colorado,Physical Activity,43.3,3841.0,Education,College graduate
2019,Tennessee,Physical Activity,26.9,432.0,Income,"$25,000 - $34,999"
2023,New Hampshire,Obesity / Weight Status,36.9,1212.0,Age (years),55 - 64
2020,Delaware,Physical Activity,25.0,799.0,Income,Data not reported
2023,Virginia,Obesity / Weight Status,39.2,760.0,Income,"$75,000 or greater"
2023,Alaska,Physical Activity,27.2,1436.0,Education,High school graduate
2018,Maryland,Physical Activity,24.6,120.0,Race/Ethnicity,American Indian/Alaska Native
2023,Ohio,Physical Activity,36.4,5292.0,Age (years),65 or older
2021,Arizona,Obesity / Weight Status,30.7,918.0,Age (years),25 - 34
2019,New York,Fruits and Vegetables,35.7,1626.0,Income,"$15,000 - $24,999"
2021,Iowa,Obesity / Weight Status,34.7,1105.0,Income,"$75,000 or greater"
2023,Connecticut,Physical Activity,59.0,1746.0,Education,Some college or technical school
2020,Nevada,Obesity / Weight Status,30.4,1149.0,Gender,Male
2023,Georgia,Physical Activity,66.6,3034.0,Education,College graduate
2023,Kansas,Physical Activity,26.2,225.0,Income,"Less than $15,000"
2019,West Virginia,Obesity / Weight Status,41.4,1256.0,Education,Some college or technical school
2019,Alaska,Fruits and Vegetables,45.3,373.0,Age (years),35 - 44
2019,Nevada,Physical Activity,36.8,869.0,Education,College graduate
2019,Idaho,Fruits and Vegetables,44.9,471.0,Income,"$25,000 - $34,999"
2020,Hawaii,Physical Activity,12.5,2722.0,Income,"$75,000 or greater"
2019,Virginia,Obesity / Weight Status,35.5,6612.0,Race/Ethnicity,Non-Hispanic White
2021,West Virginia,Physical Activity,29.5,1034.0,Age (years),45 - 54
2023,Connecticut,Physical Activity,60.5,3981.0,Gender,Male
2019,Connecticut,Obesity / Weight Status,37.5,3991.0,Education,College graduate
2019,South Carolina,Physical Activity,43.0,1643.0,Education,High school graduate
2019,South Carolina,Physical Activity,34.0,2292.0,Education,College graduate
2023,Vermont,Physical Activity,32.6,640.0,Income,"$35,000 - $49,999"
2018,Maine,Obesity / Weight Status,27.2,4746.0,Age (years),65 or older
2023,Georgia,Physical Activity,39.1,132.0,Race/Ethnicity,Asian
2023,Hawaii,Obesity / Weight Status,34.1,338.0,Income,"Less than $15,000"
2023,Wyoming,Obesity / Weight Status,34.9,535.0,Income,"$35,000 - $49,999"
2022,Montana,Physical Activity,21.0,3373.0,Gender,Female
2023,Indiana,Physical Activity,24.2,544.0,Education,Less than high school
2019,Indiana,Physical Activity,33.9,556.0,Race/Ethnicity,Non-Hispanic Black
2023,Tennessee,Obesity / Weight Status,33.8,497.0,Income,"$25,000 - $34,999"
2023,Florida,Physical Activity,23.9,1654.0,Age (years),45 - 54
2021,Kansas,Physical Activity,24.8,836.0,Race/Ethnicity,Hispanic
2018,Florida,Obesity / Weight Status,37.8,1411.0,Age (years),35 - 44
2020,Guam,Obesity / Weight Status,35.3,496.0,Education,Some college or technical school
2023,Vermont,Physical Activity,34.4,147.0,Education,Less than high school
2023,Idaho,Physical Activity,64.9,1773.0,Education,Some college or technical school
2022,Virgin Islands,Obesity / Weight Status,48.4,182.0,Race/Ethnicity,Hispanic
2020,Nebraska,Obesity / Weight Status,35.9,1601.0,Income,Data not reported
2023,Maine,Physical Activity,36.0,2291.0,Age (years),55 - 64
2023,Guam,Physical Activity,34.3,546.0,Education,High school graduate
2022,Iowa,Physical Activity,41.9,349.0,Income,"Less than $15,000"
2019,Connecticut,Physical Activity,33.3,8015.0,Total,Total
2019,New York,Fruits and Vegetables,16.0,8104.0,Race/Ethnicity,Non-Hispanic White
2023,Maryland,Physical Activity,53.8,3563.0,Education,High school graduate
2023,North Carolina,Obesity / Weight Status,36.5,2013.0,Gender,Female
2020,Washington,Physical Activity,26.5,918.0,Income,"$25,000 - $34,999"
2019,California,Obesity / Weight Status,37.6,1674.0,Age (years),45 - 54
2019,Wisconsin,Obesity / Weight Status,32.3,401.0,Age (years),25 - 34
2022,Arizona,Obesity / Weight Status,36.8,1034.0,Age (years),35 - 44
2022,District of Columbia,Obesity / Weight Status,27.0,1589.0,Gender,Female
2018,Alabama,Obesity / Weight Status,35.1,556.0,Income,"$25,000 - $34,999"
2022,Arizona,Physical Activity,28.6,1145.0,Income,"$25,000 - $34,999"
2019,Rhode Island,Obesity / Weight Status,31.6,404.0,Income,"Less than $15,000"
2019,Missouri,Physical Activity,37.1,916.0,Income,"$15,000 - $24,999"
2019,Florida,Physical Activity,56.8,6610.0,Gender,Male
2023,Guam,Physical Activity,62.2,467.0,Education,College graduate
2023,North Carolina,Obesity / Weight Status,41.4,1709.0,Gender,Male
2021,Indiana,Obesity / Weight Status,25.3,130.0,Race/Ethnicity,Asian
2020,Louisiana,Obesity / Weight Status,40.9,65.0,Race/Ethnicity,2 or more races
2020,Iowa,Physical Activity,22.1,8589.0,Race/Ethnicity,Non-Hispanic White
2018,Indiana,Obesity / Weight Status,24.4,123.0,Race/Ethnicity,2 or more races
2023,Tennessee,Obesity / Weight Status,33.5,1899.0,Income,Data not reported
2019,Alaska,Fruits and Vegetables,39.7,258.0,Income,"$35,000 - $49,999"
2019,Kentucky,Fruits and Vegetables,46.0,1573.0,Age (years),55 - 64
2019,Wyoming,Fruits and Vegetables,31.8,1981.0,Age (years),65 or older
2019,Guam,Physical Activity,15.2,279.0,Race/Ethnicity,Non-Hispanic White
2021,Kentucky,Obesity / Weight Status,27.9,546.0,Age (years),25 - 34
2021,Virginia,Obesity / Weight Status,34.2,747.0,Income,"$25,000 - $34,999"
2021,Louisiana,Fruits and Vegetables,30.1,434.0,Income,"$25,000 - $34,999"
2019,Texas,Fruits and Vegetables,19.4,2797.0,Education,Some college or technical school
2023,Colorado,Physical Activity,74.9,68.0,Race/Ethnicity,American Indian/Alaska Native
2018,Maryland,Obesity / Weight Status,28.8,11319.0,Race/Ethnicity,Non-Hispanic White
2019,Illinois,Physical Activity,37.3,1328.0,Education,Some college or technical school
2021,Michigan,Obesity / Weight Status,32.9,787.0,Race/Ethnicity,Non-Hispanic Black
2023,Colorado,Physical Activity,55.1,432.0,Income,"$15,000 - $24,999"
2020,Virginia,Obesity / Weight Status,34.0,686.0,Income,"$25,000 - $34,999"
2023,Tennessee,Physical Activity,26.0,5623.0,Total,Total
2019,Maryland,Physical Activity,37.9,3049.0,Race/Ethnicity,Non-Hispanic Black
2019,Arkansas,Fruits and Vegetables,13.0,893.0,Income,"$75,000 or greater"
2022,Kansas,Obesity / Weight Status,28.0,742.0,Income,"$15,000 - $24,999"
2023,Arizona,Obesity / Weight Status,36.5,1169.0,Age (years),35 - 44
2020,Vermont,Physical Activity,18.2,6524.0,Total,Total
2021,North Dakota,Fruits and Vegetables,32.3,64.0,Race/Ethnicity,Non-Hispanic Black
2023,Vermont,Obesity / Weight Status,36.3,3909.0,Education,College graduate
2023,New Mexico,Physical Activity,56.1,331.0,Income,"$25,000 - $34,999"
2019,Idaho,Physical Activity,42.2,350.0,Education,Less than high school
2022,North Carolina,Physical Activity,37.6,224.0,Income,"Less than $15,000"
2023,Minnesota,Obesity / Weight Status,32.3,470.0,Income,"Less than $15,000"
2022,Mississippi,Obesity / Weight Status,40.5,284.0,Income,"Less than $15,000"
2021,Mississippi,Obesity / Weight Status,36.7,1747.0,Gender,Male
2019,National,Physical Activity,32.9,27768.0,Race/Ethnicity,Hispanic
2021,Kansas,Obesity / Weight Status,45.7,143.0,Race/Ethnicity,American Indian/Alaska Native
2022,Nevada,Obesity / Weight Status,27.1,1093.0,Education,College graduate
2020,Arizona,Obesity / Weight Status,14.6,138.0,Race/Ethnicity,Asian
2019,Wisconsin,Fruits and Vegetables,21.3,483.0,Age (years),35 - 44
2023,Iowa,Physical Activity,42.2,5622.0,Race/Ethnicity,Non-Hispanic White
2018,Tennessee,Obesity / Weight Status,38.1,772.0,Income,"$15,000 - $24,999"
2019,Louisiana,Physical Activity,21.8,283.0,Age (years),18 - 24
2022,California,Physical Activity,22.6,2051.0,Education,High school graduate
2021,New Hampshire,Obesity / Weight Status,29.9,3045.0,Gender,Female
2018,Washington,Obesity / Weight Status,32.7,2600.0,Education,High school graduate
2019,Washington,Physical Activity,42.9,143.0,Race/Ethnicity,Other
2020,South Carolina,Obesity / Weight Status,33.1,294.0,Education,Less than high school
2018,Ohio,Obesity / Weight Status,34.8,1480.0,Income,"$35,000 - $49,999"
2023,Indiana,Physical Activity,28.1,3451.0,Age (years),65 or older
2019,District of Columbia,Physical Activity,33.4,2178.0,Total,Total
2023,Utah,Obesity / Weight Status,33.6,454.0,Education,Less than high school
2018,Utah,Obesity / Weight Status,27.7,4685.0,Gender,Female
2019,Florida,Obesity / Weight Status,17.5,138.0,Race/Ethnicity,Other
2021,New Hampshire,Fruits and Vegetables,35.7,1180.0,Age (years),55 - 64
2021,Idaho,Obesity / Weight Status,33.6,1579.0,Education,High school graduate
2022,Maine,Obesity / Weight Status,32.2,1041.0,Age (years),35 - 44
2019,North Carolina,Physical Activity,32.7,721.0,Age (years),55 - 64
2022,Wyoming,Obesity / Weight Status,39.9,1431.0,Education,College graduate
2023,Alaska,Physical Activity,68.3,2114.0,Income,Data not reported
2022,California,Physical Activity,21.2,2747.0,Education,Some college or technical school
2022,Wyoming,Obesity / Weight Status,36.5,1329.0,Income,Data not reported
2018,Delaware,Obesity / Weight Status,30.2,423.0,Age (years),25 - 34
2021,New York,Obesity / Weight Status,28.7,3579.0,Income,"$75,000 or greater"
2022,Hawaii,Physical Activity,17.0,816.0,Age (years),25 - 34
2019,California,Physical Activity,29.3,5141.0,Gender,Female
2019,Wisconsin,Physical Activity,31.9,63.0,Race/Ethnicity,American Indian/Alaska Native
2019,Minnesota,Physical Activity,54.7,2056.0,Age (years),35 - 44
2022,Michigan,Obesity / Weight Status,28.1,4548.0,Gender,Female
2023,Minnesota,Physical Activity,19.0,251.0,Race/Ethnicity,2 or more races
2020,Puerto Rico,Physical Activity,48.4,955.0,Age (years),45 - 54
2022,Virgin Islands,Obesity / Weight Status,25.4,140.0,Income,"$15,000 - $24,999"
2022,Colorado,Physical Activity,13.3,6619.0,Race/Ethnicity,Non-Hispanic White
2021,Indiana,Fruits and Vegetables,47.0,2380.0,Education,High school graduate
2021,Louisiana,Obesity / Weight Status,31.2,764.0,Age (years),45 - 54
2019,Indiana,Physical Activity,45.2,506.0,Race/Ethnicity,Non-Hispanic Black
2019,Washington,Physical Activity,26.1,1412.0,Age (years),35 - 44
2019,Oregon,Physical Activity,26.8,468.0,Race/Ethnicity,Hispanic
2019,Connecticut,Physical Activity,25.3,771.0,Income,"$35,000 - $49,999"
2020,Oklahoma,Physical Activity,43.9,357.0,Income,"Less than $15,000"
2022,California,Obesity / Weight Status,31.4,679.0,Income,"$15,000 - $24,999"
2023,Michigan,Physical Activity,25.3,9941.0,Total,Total
2023,Wyoming,Obesity / Weight Status,33.3,4124.0,Total,Total
2020,Minnesota,Obesity / Weight Status,38.5,303.0,Race/Ethnicity,Asian
2020,North Dakota,Physical Activity,40.5,193.0,Education,Less than high school
2023,West Virginia,Obesity / Weight Status,43.6,1307.0,Education,High school graduate
2023,Maryland,Physical Activity,44.3,3569.0,Education,Some college or technical school
2019,Iowa,Obesity / Weight Status,33.7,89.0,Race/Ethnicity,2 or more races
2019,Florida,Fruits and Vegetables,38.3,1506.0,Age (years),35 - 44
2023,Washington,Physical Activity,42.7,12195.0,Gender,Male
2023,New Jersey,Physical Activity,36.1,1192.0,Age (years),35 - 44
2019,North Carolina,Physical Activity,20.7,440.0,Income,"$35,000 - $49,999"
2022,Alabama,Physical Activity,17.2,191.0,Age (years),18 - 24
2021,Arkansas,Physical Activity,29.8,4234.0,Race/Ethnicity,Non-Hispanic White
2021,Texas,Fruits and Vegetables,27.7,4323.0,Gender,Male
2023,California,Physical Activity,48.7,221.0,Race/Ethnicity,2 or more races
2020,Hawaii,Physical Activity,20.9,1004.0,Income,Data not reported
2019,South Carolina,Physical Activity,24.4,605.0,Age (years),35 - 44
2023,Vermont,Physical Activity,12.9,132.0,Race/Ethnicity,Hispanic
2023,Guam,Physical Activity,37.2,750.0,Gender,Female
2019,Michigan,Obesity / Weight Status,43.8,797.0,Race/Ethnicity,Non-Hispanic Black
2019,Vermont,Fruits and Vegetables,40.5,475.0,Income,"$25,000 - $34,999"
2020,California,Obesity / Weight Status,33.0,1137.0,Education,Some college or technical school
2022,Minnesota,Obesity / Weight Status,28.5,493.0,Income,"Less than $15,000"
2019,Oklahoma,Fruits and Vegetables,40.4,2017.0,Age (years),65 or older
2019,Utah,Physical Activity,16.8,103.0,Race/Ethnicity,Asian
2022,Nebraska,Obesity / Weight Status,24.6,68.0,Race/Ethnicity,2 or more races
2023,South Dakota,Obesity / Weight Status,36.5,4400.0,Race/Ethnicity,Non-Hispanic White
2023,Virginia,Physical Activity,40.8,847.0,Income,"$50,000 - $74,999"
2023,New York,Physical Activity,26.9,119.0,Race/Ethnicity,American Indian/Alaska Native
2019,South Carolina,Physical Activity,27.9,2262.0,Education,College graduate
2023,Colorado,Physical Activity,16.1,167.0,Race/Ethnicity,Asian
2019,District of Columbia,Physical Activity,56.9,953.0,Gender,Male
2023,Oregon,Physical Activity,65.9,359.0,Age (years),18 - 24
2018,Nevada,Obesity / Weight Status,41.3,196.0,Income,"Less than $15,000"
2022,Montana,Obesity / Weight Status,18.3,423.0,Age (years),18 - 24
2020,New Jersey,Physical Activity,24.1,256.0,Race/Ethnicity,Other
2023,Colorado,Obesity / Weight Status,40.4,4112.0,Gender,Male
2023,Tennessee,Physical Activity,22.4,915.0,Age (years),45 - 54
2019,Nebraska,Fruits and Vegetables,40.2,2851.0,Age (years),55 - 64
2022,Washington,Obesity / Weight Status,33.6,2864.0,Income,"$75,000 or greater"
2022,Oregon,Obesity / Weight Status,39.3,925.0,Age (years),55 - 64
2018,Montana,Obesity / Weight Status,31.9,402.0,Income,"Less than $15,000"
2021,Maryland,Fruits and Vegetables,38.9,2983.0,Education,Some college or technical school
2018,Maryland,Obesity / Weight Status,31.2,257.0,Race/Ethnicity,2 or more races
2019,Utah,Physical Activity,32.9,3452.0,Education,Some college or technical school
2020,Vermont,Obesity / Weight Status,29.6,50.0,Race/Ethnicity,Other
2021,Nevada,Obesity / Weight Status,29.5,63.0,Race/Ethnicity,2 or more races
2022,Connecticut,Obesity / Weight Status,35.7,406.0,Education,Less than high school
2019,Indiana,Physical Activity,46.9,7696.0,Total,Total
2023,Guam,Physical Activity,41.0,81.0,Race/Ethnicity,Hispanic
2022,Connecticut,Physical Activity,26.5,744.0,Race/Ethnicity,Non-Hispanic Black
2019,Vermont,Obesity / Weight Status,40.1,2761.0,Gender,Male
2019,Wyoming,Physical Activity,63.5,1481.0,Education,College graduate
2018,Utah,Obesity / Weight Status,34.2,1127.0,Income,"$35,000 - $49,999"
2021,Alabama,Obesity / Weight Status,27.7,2494.0,Gender,Female
2019,South Carolina,Physical Activity,28.8,1640.0,Education,High school graduate
2019,Vermont,Physical Activity,63.7,1369.0,Education,Some college or technical school
2023,Wyoming,Obesity / Weight Status,33.0,535.0,Income,"$35,000 - $49,999"
2021,North Carolina,Obesity / Weight Status,35.5,1831.0,Education,College graduate
2023,Vermont,Physical Activity,50.2,1327.0,Education,Some college or technical school
2019,Louisiana,Fruits and Vegetables,25.9,1132.0,Age (years),65 or older
2018,Maine,Physical Activity,11.5,4276.0,Education,College graduate
2022,Florida,Obesity / Weight Status,32.4,5547.0,Gender,Male
2023,Oregon,Obesity / Weight Status,33.6,5721.0,Total,Total
2023,North Carolina,Obesity / Weight Status,46.9,650.0,Race/Ethnicity,Non-Hispanic Black
2018,Virginia,Obesity / Weight Status,30.2,5102.0,Gender,Female
2019,Connecticut,Fruits and Vegetables,24.8,495.0,Race/Ethnicity,Non-Hispanic Black
2019,Georgia,Obesity / Weight Status,21.5,127.0,Race/Ethnicity,2 or more races
2021,New York,Physical Activity,37.2,3595.0,Race/Ethnicity,Hispanic
2023,Tennessee,Obesity / Weight Status,35.2,497.0,Income,"$25,000 - $34,999"
2020,Nevada,Physical Activity,12.9,844.0,Education,College graduate
2023,Rhode Island,Physical Activity,31.7,2226.0,Gender,Male
2023,Puerto Rico,Obesity / Weight Status,37.5,890.0,Income,"$15,000 - $24,999"
2021,South Carolina,Obesity / Weight Status,34.7,1211.0,Income,"$50,000 - $74,999"
2020,New Jersey,Physical Activity,22.1,2973.0,Income,Data not reported
2023,Connecticut,Physical Activity,28.5,897.0,Race/Ethnicity,Hispanic
2019,National,Obesity / Weight Status,42.8,1280.0,Race/Ethnicity,Hawaiian/Pacific Islander
2018,New Mexico,Obesity / Weight Status,39.4,2970.0,Gender,Male
2022,Oklahoma,Obesity / Weight Status,36.7,2447.0,Gender,Male
2021,New Mexico,Fruits and Vegetables,41.5,702.0,Age (years),25 - 34
2019,Georgia,Physical Activity,32.6,51.0,Race/Ethnicity,American Indian/Alaska Native
2022,North Carolina,Obesity / Weight Status,36.4,736.0,Age (years),55 - 64
2020,Maine,Obesity / Weight Status,34.7,1203.0,Income,"$15,000 - $24,999"
2023,Oregon,Physical Activity,48.5,330.0,Income,"$15,000 - $24,999"
2023,Guam,Obesity / Weight Status,35.6,173.0,Income,"$25,000 - $34,999"
2020,Nebraska,Physical Activity,29.8,1350.0,Income,"$25,000 - $34,999"
2021,Mississippi,Obesity / Weight Status,30.4,1455.0,Race/Ethnicity,Non-Hispanic Black
2018,Kentucky,Obesity / Weight Status,27.0,130.0,Race/Ethnicity,2 or more races
2023,Virgin Islands,Obesity / Weight Status,38.5,825.0,Gender,Male
2023,National,Physical Activity,31.7,161840.0,Age (years),65 or older
2022,Nevada,Obesity / Weight Status,34.0,79.0,Race/Ethnicity,2 or more races
2018,Utah,Physical Activity,19.2,5297.0,Gender,Female
2021,Connecticut,Fruits and Vegetables,17.6,1416.0,Age (years),55 - 64
2021,New Jersey,Physical Activity,26.8,4057.0,Gender,Female
2019,Texas,Obesity / Weight Status,36.7,1382.0,Income,"$50,000 - $74,999"
2019,Alaska,Physical Activity,54.0,151.0,Age (years),18 - 24
2019,Pennsylvania,Fruits and Vegetables,41.2,263.0,Race/Ethnicity,Hispanic
2020,Michigan,Physical Activity,27.2,605.0,Income,"$25,000 - $34,999"
2019,South Dakota,Physical Activity,35.4,5075.0,Race/Ethnicity,Non-Hispanic White
2021,Kansas,Physical Activity,17.2,1095.0,Age (years),18 - 24
2023,New York,Physical Activity,47.0,2324.0,Race/Ethnicity,Hispanic
2019,North Dakota,Physical Activity,43.5,266.0,Age (years),18 - 24
2023,Nebraska,Obesity / Weight Status,37.7,4256.0,Age (years),65 or older
2022,Maryland,Obesity / Weight Status,35.8,777.0,Education,Less than high school
2022,Utah,Obesity / Weight Status,30.5,346.0,Income,"$15,000 - $24,999"
2023,Virginia,Physical Activity,15.6,352.0,Age (years),18 - 24
2018,Massachusetts,Physical Activity,23.2,1337.0,Age (years),55 - 64
2021,Minnesota,Fruits and Vegetables,38.2,1631.0,Income,"$35,000 - $49,999"
2021,Kansas,Obesity / Weight Status,11.0,175.0,Race/Ethnicity,Asian
2023,Indiana,Obesity / Weight Status,25.5,593.0,Age (years),18 - 24
2020,Montana,Obesity / Weight Status,37.2,538.0,Income,"$25,000 - $34,999"
2018,Washington,Obesity / Weight Status,34.5,352.0,Race/Ethnicity,Asian
2023,Colorado,Obesity / Weight Status,28.8,223.0,Race/Ethnicity,Non-Hispanic Black
2019,Wyoming,Obesity / Weight Status,33.4,1455.0,Education,Some college or technical school
2022,West Virginia,Physical Activity,39.9,628.0,Income,"$25,000 - $34,999"
2023,Wyoming,Physical Activity,42.1,320.0,Income,"$15,000 - $24,999"
2018,Wisconsin,Obesity / Weight Status,42.2,1575.0,Age (years),65 or older
2020,Ohio,Obesity / Weight Status,43.1,873.0,Race/Ethnicity,Non-Hispanic Black
2019,Indiana,Physical Activity,20.6,548.0,Education,Less than high school
2019,Minnesota,Physical Activity,56.8,60.0,Race/Ethnicity,Other
2019,New York,Physical Activity,29.5,5053.0,Education,College graduate
2018,Oklahoma,Obesity / Weight Status,34.6,3680.0,Race/Ethnicity,Non-Hispanic White
2018,Hawaii,Obesity / Weight Status,28.3,3786.0,Gender,Female
2019,Arizona,Physical Activity,54.1,693.0,Age (years),25 - 34
2022,Hawaii,Obesity / Weight Status,26.5,2048.0,Education,Some college or technical school
2019,North Carolina,Physical Activity,30.1,763.0,Age (years),55 - 64
2019,New York,Physical Activity,24.3,1152.0,Income,"$35,000 - $49,999"
2022,New Jersey,Obesity / Weight Status,38.2,316.0,Education,Less than high school
2021,Maine,Fruits and Vegetables,38.7,830.0,Age (years),25 - 34
2020,Connecticut,Obesity / Weight Status,28.4,3798.0,Gender,Male
2023,Georgia,Physical Activity,34.6,2970.0,Education,College graduate
2018,District of Columbia,Obesity / Weight Status,16.4,2569.0,Education,College graduate
2023,Wisconsin,Physical Activity,24.1,476.0,Race/Ethnicity,Hispanic
2021,Indiana,Physical Activity,23.4,1712.0,Age (years),45 - 54
2023,North Carolina,Physical Activity,37.7,579.0,Age (years),35 - 44
2018,California,Obesity / Weight Status,30.6,1748.0,Age (years),45 - 54
2022,Colorado,Obesity / Weight Status,41.3,4343.0,Gender,Male
2021,Oregon,Physical Activity,19.9,735.0,Age (years),25 - 34
2023,Montana,Physical Activity,35.2,2274.0,Income,Data not reported
2023,West Virginia,Physical Activity,34.1,595.0,Age (years),45 - 54
2020,Wyoming,Physical Activity,33.5,217.0,Education,Less than high school
2020,Guam,Obesity / Weight Status,32.6,217.0,Income,"Less than $15,000"
2023,Puerto Rico,Obesity / Weight Status,36.3,141.0,Income,"$75,000 or greater"
2021,Nebraska,Obesity / Weight Status,37.3,1531.0,Income,"$25,000 - $34,999"
2022,Utah,Obesity / Weight Status,32.9,2562.0,Education,Some college or technical school
2021,Oregon,Obesity / Weight Status,37.5,60.0,Race/Ethnicity,American Indian/Alaska Native
2019,Wyoming,Physical Activity,51.9,60.0,Race/Ethnicity,2 or more races
2023,Guam,Physical Activity,36.8,1301.0,Total,Total
2019,Kansas,Physical Activity,37.4,3473.0,Age (years),65 or older
2018,South Carolina,Physical Activity,20.9,1417.0,Income,"$50,000 - $74,999"
2022,New Jersey,Physical Activity,36.0,507.0,Income,"$25,000 - $34,999"
2021,New Mexico,Obesity / Weight Status,38.6,2129.0,Education,College graduate
2019,New York,Physical Activity,23.5,2860.0,Education,Some college or technical school
2019,Vermont,Physical Activity,25.5,2524.0,Age (years),65 or older
2018,Georgia,Physical Activity,23.2,2369.0,Education,Some college or technical school
